"","ResponseId","pi_pfs_like","pi_pfs_change","pi_pfs_other"
"11","R_bgD7XjM97KSw3rb","I like talking about myself So this was fun.","Honestly it felt weirdly cheesy. Like something my school would make me fill out before they sent me to the school shrink.","Nah. Keep it up bois."
"12","R_3JyNRU94umNQFq7","I liked that I was able to hear from others in my age group , all phrases and language was clear",NA,NA
"13","R_3O0PZkA2RdcJw6q",NA,NA,NA
"14","R_SCaaolja0THg3cZ",NA,NA,NA
"15","R_dg0E32KTtqjaCLD","inclusion!",NA,NA
"16","R_2yfTtoH4k5FePMX","It was descriptive, and it was inclusive of many gender orientations.",NA,NA
"17","R_2fkByvgcGFQ0wMR","The inclusivity was refreshing- I was pleasantly surprised to see the issues transgender people in particular have with their bodies reflected in this activity.","Most of the text was presented in image format, and while it looked nice, it seems like it would be inaccessible to people who use a screen reader. I would hope there is a text version or the images have text descriptions.","thank you"
"18","R_38D5jPSoAcCFDX3","I liked the whole idea and the images and stories",NA,NA
"19","R_3L0jzGFcdLMdcGt",NA,NA,NA
"20","R_b2X6dCMkfDlT7kl",NA,NA,NA
"21","R_1N5sMtV6P5nzeLl",NA,NA,NA
"22","R_un1fr6cSF9AFAk1","I liked read other peoples problems and helping them and it really make you think to treat yourself like you would a stranger","nothing","no you guys did I really good job with the set up of this Survey"
"23","R_1eRe4exvGYatzao","The idea of interacting with a person who may be going through the same struggle as i do.","The art looked too crudely drawn","this would be helpful pamphlets at school."
"24","R_3PBvlSaFGAksUqY","I found the language clear and inclusive, and there were many different types of people included (different pronouns, disabled people, poc, etc) so everyone feels included","Nothing changeable comes to mind","This would help people with body dysphoria"
"25","R_2Pz2xTN3dfozgU6","i really enjoyed learning about body neutrality and how to incorporate it into my life","nothing. everything was flexible and easily taught","nope!"
"26","R_wMFMMRcbCjLYtdT","I really enjoyed that multiple people got to share their stories and got help!","I didn’t see a lot of people that looked like me","I think it should have more information about how harassment could affect a person"
"27","R_1MMJWSiOMFTQU6a","The questions asked were well crafted and straightforward yet thought-provoking.","I didnt see some teens that reflected me and my experiences","Including more gender apathetic, agender people whos body doesnt reflect their want of total androgyny"
"28","R_2pLUaSjlSWEOe9G","the stories from others were nice","less words","no!"
"29","R_1QDSvbXJ2VJ51oC","I appreciated the transparency, and found the  questions opened the door for self reflection. Additionally I appreciated the diversity","N/A, I'm not really sure what to say here","This can really help people like me who struggle with their body outlook, thank you c:"
"30","R_eG47nTGgtdoKIcV","Short","I am so tired of hearing about how social media impacts our bodily perception. That’s not true for me. It’s worst in person.","This should include more about how to deal with systemic issues."
"31","R_8prq6DUUPnH3Z0l","It was very user friendly and made me feel understood.",NA,NA
"32","R_3JCbJMyLS3ufBpy","Honestly everything.","Maybe having some transgender women or non-binary people if there wasn’t any already?","No."
"33","R_b4qaP6e1vH0IOpH","It helped me feel better about myself","N/A",NA
"34","R_2pQzI5k34PtqvwK","Lots of choices to answer.",NA,NA
"35","R_3kw9bRWDbI5ubyH","The picture were cute. I liked the options to choose from for negative thoughts etc. They were realistic and the ones I chose were thoughts I actually have on a daily basis. I also liked that you could choose the stories to read.","Not really","You should reach out to schools about this I think it would benefit the girls at my all girls school Immaculate Heart."
"36","R_rjXOUZfznvT54MF","i liked the pictures","i didnt really see anyone with eating disorders in this survey","include more about eating disorders like bed, pica, arfid, etc"
"37","R_21tXxxhuUgyo70D","it was diverse,  easy to use, and the images were nice. i felt like i could relate to it","n/a","this helped me a lot, thanks"
"38","R_RtdXcLYCTlYzzxL","it reminded me i’m not alone.","some stories i didn’t relate to",NA
"39","R_2DUYPt56FhrsmUt","The examples were easy to follow, directions were clear, colors and images were appealing.","I would like a few more stories that had more specific details","This should be an app in the future, using past responses and daily queries to help teens"
"40","R_2wHo32V9a5hYG5b","I liked the diversity in the people it showed me and I found the activity options it listed relatable and realistic.","Not much to be honest. Maybe make more? I would’ve liked to maybe see more specific things about different problems such as gender dysphoria, body dysmorphia, eating disorders, and resources for those issues.",NA
"41","R_Apc1IcfhThj2NXP","Quick loading time, answers are clear and concise, nothing is too confusing or long winded to read","The stories about the random people were kind of weird, I get it's like #relatable type thing or whatever but they just feel like story book characters not really real people to relate to","Nope"
"42","R_0Mmg4VmmP2YiS89","I enjoyed the personal scenarios","I'm not sure if the definition for body positivity is ""always loving your appearance regardless of your appearance,"" from what I hear it usually is not as extreme sounding as it was worded here",NA
"43","R_1i34Wk1UcCWSqp5","it was easy to complete with the multiple choice boxes","i struggled a little to understand Sadie's story the first time","this is a great tool for teens struggling with their body image"
"44","R_1MM5D3kN40Ef9Hh",NA,NA,NA
"45","R_O81g3JBmwKJfMlj","I liked the section about body neutrality. I haven’t heard of it before and I like the idea of it more than body positivity. It helps me feel better about my body, and I think it could help other teens as well.",NA,NA
"46","R_6K9Z2Cmo1YTNkeB",NA,NA,NA
"47","R_3MEAl9RL0EWI6zn","It was easy to understand and user friendly.","Nothing!","Nope!"
"48","R_2Xnd3N5XciIvttF","I like the representation given in the stories","I think there could've been potential for stories of kids with learning disabilities and not being able to catch up with other people academically or things that follow mental disabilities","I really liked the artstyle"
"49","R_2OT12ju2HNKh55m","It really helped explain body neutrality","I would like more stores about racism or see more people talking about being mixed or people with EDs","Maybe some tips on how to feel more comfortable with your body on days where you just don't like how you look. Or give some advice on how to deal with EDs"
"50","R_aWCTcP1D2zVHO7L","Giving examples","Maybe change the ages option. Cuz does 15 go in 13-15 or 15-17","I wanna know more about what influences body dysmorifhiads"
"51","R_1jZLhhTs2fqYmvL","the advice was very good and the entire program was kind","nothing",NA
"52","R_6zMjt6znv6qb62B",NA,NA,NA
"53","R_2Ym5zIwU3dLUXmY",NA,NA,NA
"54","R_AnfHYcqWcUASq6l","I loved the colors","Not a lot of options for answers",NA
"55","R_3dKzFAxsoTszXNF","I liked the color sceme and how clear it was that it was anonymous","Nothing",NA
"56","R_2qy2KmeBCzyLZG9","im too lazy 2 type but i liked the interactive bits where u got 2 read othwr perspectives","nothjng rlly","idk"
"57","R_3s0l3h0rTSihNU5","The images are nice, it was easy to understand and it showed me another perspective of the issues im going through right now","I would change the message a little. Like i explained before, looks have importance. It might be shallow of me, but i would include positive thinking strategies for how we look.",NA
"58","R_vTPzTwDRKTviUFP","I didn’t have to share too much",NA,NA
"59","R_126fZoLRTtVFGJ3","I liked the ease of use and access, the general message, and the inclusivity of the visuals and characters","Make it a little shorter, but that's about it",NA
"60","R_1j7c61eRfKmtGlL","I liked the case studies.","It seemed a little more geared towards younger teens",NA
"61","R_3LhImwRCmerQedq",NA,NA,NA
"62","R_3IcPM8txd1MltmZ",NA,NA,NA
"63","R_SPLSxAaeFSGtEvD","i love that you can choose whose stories you want to hear!","i wish i could have gone through all of the teens in the advice section","love love love how you included gender dysphoria and disability; i felt really seen"
"64","R_1hQ1uLtuq7h4dzz",NA,NA,NA
"65","R_22Jh2E34bJDJpRw",NA,NA,NA
"66","R_24eXPxRMIXM8MKR","The positivity and compassion","N/A","N/A"
"67","R_Xnb3EQoOLJInCA9","I really liked the explanations and examples of people's stories.","I didn't see teens that look like me, I have stereotypical features like blonde hair and blue eyes with freckles, but I'm plus size with  narrow hips and have many other things about me that I didn't really see included.","This should include information about how to approach friends about this if they are struggling with it."
"68","R_1EcglTeIHlgbtEG","I like talking about myself","I wish there was more about people with disabilities/differences","🤷‍♀️"
"69","R_XOf1WxyHEtfdYFX","It was very simple and easy.",NA,NA
"70","R_3p9b26YlOXhcwLm","The pictures And examples for really eye-catching end rememberable","Sometimes way too many words to read","Maybe do some more interactive examples like the dog, dogs draw people Attentions more than writing"
"71","R_Rai0rp8XtG8aH4J",NA,NA,NA
"72","R_3hg5OQpIrVcjGqV","I liked that it listened to me","I would make another one for closeted non binary or trans teens like me",NA
"73","R_3fdwdzeOyQrhAVB",NA,NA,NA
"74","R_2B5v8jUj4UorGho","I have a new method to feel better about myself and I liked seeing people in the lgbtq+ community being represented",NA,"I cried a lot but I do feel a little better about myself"
"75","R_1FaGa1diw8cqO6s","i really like how it included characters that are gender nonconforming and characters that aren't all white people, it made it seem more relatable.",NA,NA
"76","R_2dg9fF3THzg2prm","I found the language super clear and the message was easy to digest.","I want more teens that use all pronouns like me, i didn't see any.","I'd like to learn about more teens who are practicing body positivity"
"77","R_RFE9OTMV9ALR7Zn",NA,NA,NA
"78","R_xyIcxOs8e4db7ot","i like the pictures","i don’t think it would help everyone",NA
"79","R_1Pej9WbNwVqC5UL","I liked the sections where it had the survey taker choose some people to hear their experiences","I didn’t see teens that looked like me",NA
"80","R_shvx8s2mH8d5Jux",NA,NA,NA
"81","R_3KYKTBQOBBfRIrC","The activities were helpful and there were lots of examples, it was good to have a takeaway","Nothing comes to mind",NA
